NAME,TYPE,PACKAGE,PERSONAL DESKTOP,PERSONAL LAPTOP,WORK LAPTOP,SERVER,DISABLED
TigerVNC Viewer,flatpak,org.tigervnc.vncviewer,y,y,y,,
tig,nixpkgs,tig,y,y,y,y,
tmux,nixpkgs,tmux,y,y,y,y,
tokei,nixpkgs,tokei,y,y,y,y,
topgrade,nixpkgs,topgrade,y,y,y,y,
Tor Browser Launcher,flatpak,com.github.micahflee.torbrowser-launcher,y,,,,
trash-cli,nixpkgs,trash-cli,y,y,y,y,
Tree,nixpkgs,tree,y,y,y,y,
ugrep,nixpkgs,ugrep,y,y,y,y,
unrar,nixpkgs,unrar,y,y,y,y,
UnZip,nixpkgs,unzip,y,y,y,y,
Ventoy,nixpkgs,ventoy-full,y,y,y,,
Virtual Machine Manager,nixpkgs,virt-manager,y,y,y,,
Visual Studio Code,flatpak,com.visualstudio.code,y,y,y,,
Vivaldi,flatpak,com.vivaldi.Vivaldi,y,y,y,,
VLC,flatpak,org.videolan.VLC,y,y,y,,
VSCodium,flatpak,com.vscodium.codium,y,y,y,,
Warp,appimage,warp-terminal,y,y,y,,
WezTerm,flatpak,org.wezfurlong.wezterm,y,y,y,,flatpak sandboxing prevents some functionality I want
WezTerm,appimage,wezterm,y,y,y,,
Wget,nixpkgs,wget,y,y,y,y,
which,nixpkgs,which,y,y,y,y,
Wireshark,flatpak,org.wireshark.Wireshark,y,,,,
xh,nixpkgs,xh,y,y,y,y,
Xournal++,flatpak,com.github.xournalpp.xournalpp,y,y,y,,
xsv,nixpkgs,xsv,y,y,y,y,
XZ Utils,nixpkgs,xz,y,y,y,y,
yq,nixpkgs,yq-go,y,y,y,y,
Zellij,nixpkgs,zellij,y,y,y,y,
Zen,flatpak,io.github.zen_browser.zen,y,y,y,,
Zip,nixpkgs,zip,y,y,y,y,
Zoom,flatpak,us.zoom.Zoom,y,y,y,,
zoxide,nixpkgs,zoxide,y,y,y,y,
Zstandard,nixpkgs,zstd,y,y,y,y,
zsync,nixpkgs,zsync,y,y,y,y,
